AE;Code SANDRE de la station;Nom de la station;Réseaux de mesure;RCS;RCO;RRP;RCB/RCR;CoordX;CoordY;ECHELLESTA COMITER;Contexte piscicole;TYPEFR_CONSOLIDE;Code Masse d'eau;Type de station;AREA_KM2_ME
AERMC;06580741;OUVEZE A VIOLES 2;;NON;NON;NON;;;;;;GM6/2-7;FRDR390;;
AERMC;06580742;OUVEZE A VIOLES 3;;NON;NON;NON;;;;;;GM6/2-7;FRDR390;;
AERMC;06580743;CHARUIS A ST-AUBAN-SUR-L'OUVEZE ;;NON;NON;NON;;;;;;TP7;FRDR11927;;
AERMC;06580744;MENON A BUIS-LES-BARONNIES ;;NON;NON;NON;;;;;;TP7;FRDR10731;;
AERMC;06580745;DERBOUX A BUIS-LES-BARONNIES ;;NON;NON;NON;;;;;;TP7;FRDR11318;;
AERMC;06580746;BEAUVOISIN A PROPIAC ;;NON;NON;NON;;;;;;TP7;;;
AERMC;06580747;AYGUE MARCE A MOLLANS-SUR-OUVEZE 1;;NON;NON;NON;;;;;;GMP7;FRDR10939;;
AERMC;06580748;ANARY A MONTBRUN-LES-BAINS ;;NON;NON;NON;;;;;;TP7;FRDR11613;;
AERMC;06580749;TOULOURENC A MONTBRUN-LES-BAINS ;;NON;NON;NON;;;;;;GMP7;FRDR391;;
AERMC;06580750;TOULOURENC A REILHANETTE ;;NON;NON;NON;;;;;;GMP7;FRDR391;;
AERMC;06580751;TOULOURENC A SAVOILLAN ;;NON;NON;NON;;;;;;GMP7;FRDR391;;
AERMC;06580752;TOULOURENC A BRANTES ;;NON;NON;NON;;;;;;GMP7;FRDR391;;
AERMC;06580753;TOULOURENC A MALAUCENE ;;NON;NON;NON;;;;;;GMP7;FRDR391;;
AERMC;06580754;TOULOURENC A ENTRECHAUX ;;NON;NON;NON;;;;;;GMP7;FRDR391;;
AERMC;06580755;GROSEAU A MALAUCENE 2;;NON;NON;NON;;;;;;TP6;FRDR10628;;
AERMC;06580756;GROSEAU A CRESTET 1;;NON;NON;NON;;;;;;TP6;FRDR10628;;
AERMC;06580757;LAUZON A ST-ROMAIN-EN-VIENNOIS ;;NON;NON;NON;;;;;;TP6;FRDR11862;;
AERMC;06580758;LAUZON A VAISON-LA-ROMAINE ;;NON;NON;NON;;;;;;TP6;FRDR11862;;
AERMC;06580759;PISSOUD A FAVERGES-DE-LA-TOUR ;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580760;PISSOUD A CORBELIN 1;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580761;PISSOUD A CORBELIN 2;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580762;PISSOUD A VEYRINS-THUELLIN ;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580763;HUERT A LES-AVENIERES 1;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580764;HUERT A LE-BOUCHAGE 2;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580765;HUERT A LE-BOUCHAGE 1;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580766;HUERT A LES-AVENIERES 2;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580766;HUERT A LES-AVENIERES 2;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580766;HUERT A LES-AVENIERES 2;;NON;OUI;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580766;HUERT A LES-AVENIERES 2;;NON;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580766;HUERT A LES-AVENIERES 2;;OUI;NON;NON;;;;;;TP5;FRDR10992a;;
AERMC;06580767;DOLOMIEU A CORBELIN ;;NON;NON;NON;;;;;;TP5;;;
